Code_Agence,Colonne,Modele,MAE,RMSE,MAPE,R2
00062,encaissements,xgboost,69824181.2,75327320.5365547,66.65440870443918,-2.582248731583263
00062,encaissements,prophet,38101747.78322316,55390129.3536394,25.48381993781848,-0.9369368311510193
00062,encaissements,arima,28874800.764848698,40841183.410229154,21.540203092037316,-0.0530459787280555
00062,encaissements,moving_avg,36115480.975545906,42687281.52110018,30.081376549421734,-0.1503968800239932
00062,encaissements,ensemble_post,26722580.133247707,44722498.87338714,17.029626259163393,-0.2627076810119833
00062,encaissements,ensemble_cv_best,37576375.104054034,49925728.53077788,27.337578366704633,-0.5736187460510642
00062,encaissements,ensemble_cv_second,37821670.100365385,49907228.7600993,27.636644466434312,-0.572452766376633
00062,decaissements,xgboost,90784210.4,107900003.03083943,114.17920059897202,-0.5582984125954495
00062,decaissements,prophet,50695895.02205713,71492536.28393473,41.43868791762618,0.31588498347900984
00062,decaissements,arima,63956924.30688771,89538783.47051848,54.198892330684046,-0.07307504073865911
00062,decaissements,moving_avg,63225493.190337345,94328327.5327616,46.57524082393082,-0.1909457616641641
00062,decaissements,ensemble_post,56595076.15909316,82030997.37744422,43.8570780054241,0.09933414530282991
00062,decaissements,ensemble_cv_best,61550767.37186675,74010377.31637299,61.62819537865546,0.26684981055498536
00062,decaissements,ensemble_cv_second,61703996.10792843,74098264.28534386,61.90712477569221,0.2651075520223718
00062,Besoin,xgboost,97235052.9,120919177.19830795,178.63965122647198,-0.30517398489119785
00062,Besoin,prophet,85745936.83117263,114967861.58828999,100.67726164675747,-0.17986128042549154
00062,Besoin,arima,82694879.6691754,107801606.3321975,104.95730252980881,-0.03735763217053001
00062,Besoin,moving_avg,94638153.9944547,119182760.17514135,160.3340588878479,-0.26795815214440344
00062,Besoin,ensemble_post,84252160.32804616,111395127.69350366,102.77274008719995,-0.10767010174347602
00062,Besoin,ensemble_cv_best,85868997.44174853,109559063.74173212,121.0421489169224,-0.07145680274386601
00062,Besoin,ensemble_cv_second,86339510.41776292,109876241.79942591,123.42647426083788,-0.07766960714734195
