Code_Agence,Colonne,Modele,MAE,RMSE,MAPE,R2
00062,encaissements,xgboost,1275625.3724546875,1686285.6397130569,90226508546876.25,0.9996011202118787
00062,encaissements,prophet,42967985.75836375,62668278.94781112,1.8643846403509012e+16,0.4547219234372649
00062,encaissements,arima,59694587.15482356,82126352.9289469,6521645454594995.0,0.06354357169359992
00062,encaissements,moving_avg,62930785.09851567,85655730.80915976,5742994550557619.0,-0.018674302632190942
00062,decaissements,xgboost,705998.8528,950165.9884604121,0.9257910714776335,0.9997392816019296
00062,decaissements,prophet,37503839.96011995,50762331.89078787,49.01172574280022,0.26187044991757324
00062,decaissements,arima,44022057.68902742,58356424.3377978,54.37688397974817,0.024501039846406725
00062,decaissements,moving_avg,47682968.33868294,61708933.755169526,59.21892137933339,-0.09080105308697606
00062,Besoin,xgboost,1131157.6573875,1444576.5597860725,48.23639030441862,0.9995627905450353
00062,Besoin,prophet,42129058.576310426,60196088.80283982,1372.5109013131996,0.23580740234389763
00062,Besoin,arima,48826676.8664931,67959208.32244278,1987.0650232101482,0.025991156276727323
00062,Besoin,moving_avg,50835306.16203285,71382938.47145529,827.0669519966585,-0.074620500972155
