Code_Agence,Colonne,Modele,MAE,RMSE,MAPE,R2
00081,encaissements,xgboost,545259.9913294797,727115.0849114488,0.4519774851773451,0.999952932969332
00081,encaissements,prophet,52049989.19431687,77877430.52506019,43.71971249095996,0.4690510419016777
00081,encaissements,arima,75096328.30696777,104171696.56763744,49.0725118256424,0.049988156967989195
00081,encaissements,moving_avg,79584759.63968703,109321542.88207842,52.82350350579148,-0.04626343926635079
00081,decaissements,xgboost,478911.5317919075,629665.3740608781,0.6001347367214941,0.9998974464979379
00081,decaissements,prophet,30917780.609740272,50974649.15698335,39.8801981109293,0.3390565107178267
00081,decaissements,arima,38880405.911051475,60008216.94317896,43.155779567053735,0.084038365876547
00081,decaissements,moving_avg,41044956.474032104,62871716.477319956,46.50541084658203,-0.005463877765459424
00081,Besoin,xgboost,520968.0886921965,693786.7279626663,4.5786917342957745,0.9999283539128879
00081,Besoin,prophet,44977382.91886868,68030961.10460587,330.39107440726383,0.30491137895152975
00081,Besoin,arima,55076820.996179685,81293507.2716719,464.32354042087496,0.007481323596104983
00081,Besoin,moving_avg,58043734.65115338,84543463.88376948,417.154498736927,-0.07346290456829285
