Code_Agence,Colonne,Modele,MAE,RMSE,MAPE,R2
00056,encaissements,xgboost,912148.8512,1194255.5050103716,1.0034910802081105,0.9997071588203248
00056,encaissements,prophet,33470532.261555057,46186573.883911215,34.91104127982286,0.5930859753533332
00056,encaissements,arima,45353676.9812683,62391520.47170201,48.32293126241606,0.2574558134253163
00056,encaissements,moving_avg,45860571.46372062,62502156.54647924,47.38379413884049,0.25482003818195487
00056,decaissements,xgboost,853101.6912,1117452.726995342,0.9159282867114044,0.9996422143402975
00056,decaissements,prophet,34215905.22147159,48100525.43064418,35.625470914078306,0.34835415929701685
00056,decaissements,arima,44289516.23820813,58920676.50507092,48.511561366928476,0.022205847096714693
00056,decaissements,moving_avg,45873873.11460217,61476940.08055851,48.968433453431324,-0.06447746721261716
00056,Besoin,xgboost,797827.1210375,1064197.8846316584,5.587256908582075,0.999713364211474
00056,Besoin,prophet,40310743.92372399,53476320.17193632,152.5882161160902,0.2976729210456419
00056,Besoin,arima,42984419.70399877,58246773.3458186,181.257280870149,0.16677915194386062
00056,Besoin,moving_avg,45206419.31656871,59702320.12666425,200.15139028394825,0.1246156029488763
