Code_Agence,Colonne,Modele,MAE,RMSE,MAPE,R2
00010,encaissements,xgboost,5465003.2656,7105162.9864402255,1.171465071514821,0.9991063272041466
00010,encaissements,prophet,133619204.09124316,186291178.93704456,28.19116875569872,0.38272906159023756
00010,encaissements,arima,172060404.38440862,232630956.0302008,37.11455284062097,0.03744343759061641
00010,encaissements,moving_avg,177331825.1654272,238928631.37708896,38.00930496786169,-0.015377742026013275
00010,decaissements,xgboost,2939092.2192,3952041.299414588,0.5467587792421238,0.9997100066317481
00010,decaissements,prophet,138712431.4521834,191771657.15146708,25.276973632470572,0.3144220116597233
00010,decaissements,arima,176100279.9383238,231688863.05961242,32.797735591401924,-0.0006871890607000886
00010,decaissements,moving_avg,181814147.5201213,238090773.66644818,33.64420298636792,-0.05675218776175184
00010,Besoin,xgboost,2193957.472775,2871446.2538566594,17.351697960560735,0.9997672386389804
00010,Besoin,prophet,124539503.39225742,163236077.58825418,267.7837221385492,0.2527784780720238
00010,Besoin,arima,129896071.45071357,173370934.1874613,321.82618064997513,0.15711242914232704
00010,Besoin,moving_avg,136315846.70972726,179765718.14193285,381.038423756319,0.09378589155466788
