Code_Agence,Colonne,Modele,MAE,RMSE,MAPE,R2
00079,encaissements,xgboost,88416809.4,121620258.32283932,46.00315407914321,-0.589898226431913
00079,encaissements,prophet,46186964.188155,76868346.72754374,15.668523159385442,0.36488471809891565
00079,encaissements,arima,94658127.03172106,102205551.69633366,42.56376930944251,-0.12281047474573148
00079,encaissements,moving_avg,82955617.82334742,100051507.69180165,29.67550112290539,-0.07598138223845474
00079,encaissements,ensemble_post,55379207.90137956,74736538.79504679,18.92610842029228,0.3996238332753457
00079,encaissements,ensemble_cv_best,53754648.17024936,63471011.16481099,23.13116694965111,0.5669796405693523
00079,encaissements,ensemble_cv_second,60035211.440539375,68227055.68727805,27.407652617090474,0.4996536435557849
00079,decaissements,xgboost,51240304.8,59271810.68285433,50.1439540802818,-0.7250144129583875
00079,decaissements,prophet,46895366.059931636,62657395.04806779,42.882509455614645,-0.9277069338290775
00079,decaissements,arima,38339916.28001092,52791206.90223782,33.185101807243946,-0.3684203391308587
00079,decaissements,moving_avg,67457746.72279407,76207999.37689504,96.46198698442088,-1.8516581365931537
00079,decaissements,ensemble_post,41493048.22270342,55643487.55011513,36.606629208843025,-0.5202850453089025
00079,decaissements,ensemble_cv_best,39583270.628655605,51585003.25989231,35.442444589468785,-0.30660183409876884
00079,decaissements,ensemble_cv_second,41292640.09715176,51973837.99816002,37.598251227385816,-0.32637374199958047
00079,Besoin,xgboost,101350060.6,137345598.98636377,289.7887832975157,-0.5711406183586363
00079,Besoin,prophet,59616058.709584236,84076642.70873582,149.92218024775983,0.4112427286378755
00079,Besoin,arima,98444003.70092864,125778504.038524,271.6024612558731,-0.31764497828589233
00079,Besoin,moving_avg,126574459.17504612,137437057.0757732,149.7920136919001,-0.5732337522163824
00079,Besoin,ensemble_post,93109799.03509474,102266240.38764386,149.8570687040144,0.12893584689102988
00079,Besoin,ensemble_cv_best,65079617.85751714,89423644.22106898,187.9774995605079,0.3339753701690221
00079,Besoin,ensemble_cv_second,67481687.55013973,93082416.05081674,199.1553229543224,0.27835957155845725
