Code_Agence,Colonne,Modele,MAE,RMSE,MAPE,R2
00055,encaissements,xgboost,136022357.6,156078490.18409187,66.27752077338418,-1.5030880143154062
00055,encaissements,prophet,42325316.45823013,48851455.91391415,21.90573159802303,0.7547861291200545
00055,encaissements,arima,93723321.3122935,103833795.00757635,41.091779244738426,-0.10781556979748852
00055,encaissements,moving_avg,89202354.49403223,96909257.08675435,38.53859768908973,0.03501505333170685
00055,encaissements,ensemble_post,55056948.38477905,60155335.77128421,26.323673708635997,0.6281752277433645
00055,encaissements,ensemble_cv_best,66431676.43022853,82123629.115328,34.04028032478985,0.30701110362696293
00055,encaissements,ensemble_cv_second,72104319.63237149,88376198.47168227,36.70547527427704,0.19747117034386397
00055,decaissements,xgboost,80525468.8,93418744.96774103,54.01992218104377,-2.5025353449656653
00055,decaissements,prophet,43526241.45902304,53700142.16984843,29.093233638470483,-0.15735166450689464
00055,decaissements,arima,45524709.49333979,52797797.77339629,24.058618021474647,-0.1187835860130313
00055,decaissements,moving_avg,44691982.933063604,49589388.04200349,27.48456555195134,0.013057235595575922
00055,decaissements,ensemble_post,42892514.01815838,49333693.93966509,24.4320416278995,0.02320879637357187
00055,decaissements,ensemble_cv_best,55968750.18675858,65694165.04644422,37.475856182573416,-0.7320804670542322
00055,decaissements,ensemble_cv_second,60522929.44861028,70533025.98424391,40.54404432522542,-0.9966387800459586
00055,Besoin,xgboost,73536365.6,94581385.67545988,750.0627987236347,-1.4167582360987416
00055,Besoin,prophet,36646151.25712342,40882598.066871874,263.0256956138515,0.548457288214957
00055,Besoin,arima,83590909.79192254,90679416.58946511,609.8587265788057,-1.2214640892759139
00055,Besoin,moving_avg,55300080.13239721,65024598.47170136,419.25714570301096,-0.14229222474541126
00055,Besoin,ensemble_post,33454570.513076358,45234599.998787746,301.53839573228913,0.4472059357488515
00055,Besoin,ensemble_cv_best,33312452.80183383,43689001.641432956,317.75442837406365,0.48433684245360065
00055,Besoin,ensemble_cv_second,33935594.01989392,51484375.284236394,400.8042309594095,0.28390151127808094
