Code_Agence,Colonne,Modele,MAE,RMSE,MAPE,R2
00039,encaissements,xgboost,105874584.4,108718518.22083753,49.114171945065635,-0.8123758731303914
00039,encaissements,prophet,42391179.98014349,51964002.68691677,15.6549748077842,0.5859560757557505
00039,encaissements,arima,62804302.462398216,80753786.92480333,24.02390522022696,7.594056482795875e-05
00039,encaissements,moving_avg,51459673.30135063,80689025.01334041,17.15408606625197,0.0016791106295451774
00039,encaissements,ensemble_post,36756721.90670385,61847813.83062966,11.26299319234449,0.4134704071407248
00039,encaissements,ensemble_cv_best,26226424.25527475,42433401.276632346,8.425658131622441,0.7239060363273453
00039,encaissements,ensemble_cv_second,35014761.51596963,44373266.558121204,13.306076170663372,0.6980854631291995
00039,decaissements,xgboost,188731040.0,210628517.1864982,122.91488408154937,-5.450111270396074
00039,decaissements,prophet,34088247.05279824,42296772.78968741,16.267262560811325,0.7398958205841437
00039,decaissements,arima,62274364.16002822,83037708.56536841,29.414516945749234,-0.002498146892307318
00039,decaissements,moving_avg,71944683.45570299,81806768.86833054,37.26749000400794,0.02700334954500283
00039,decaissements,ensemble_post,40439326.48318714,55279623.604272604,18.823508649209668,0.5557135987244026
00039,decaissements,ensemble_cv_best,89154339.45448369,94229185.06846197,55.825418343690636,-0.2909330997674464
00039,decaissements,ensemble_cv_second,93382259.10803542,99041806.08516581,58.726890556351265,-0.42616563910988847
00039,Besoin,xgboost,66388497.2,79838751.88116156,142.5322529576676,-15.076013085023266
00039,Besoin,prophet,23555280.68219875,30801398.092690118,42.34275020409302,-1.3927191895190174
00039,Besoin,arima,21102059.92788795,23148729.55327195,58.441025643462595,-0.3514662207282706
00039,Besoin,moving_avg,36944665.18675552,41861600.40022799,74.57768619246022,-3.4195955583372566
00039,Besoin,ensemble_post,15484994.309488248,21047641.075763002,28.87505943867485,-0.11726895466717013
00039,Besoin,ensemble_cv_best,26363593.828968383,33671171.84316247,48.911565760222544,-1.8593501106233372
00039,Besoin,ensemble_cv_second,29745731.244368702,37260839.07585116,56.822591141931646,-2.501516152323712
