Code_Agence,Composante,Modele,MAPE,Statut
00037,encaissements,xgboost,95.76%,TOP2_TEST
00037,encaissements,prophet,92.56%,TOP2_TEST
00037,encaissements,arima,67.29%,
00037,encaissements,moving_avg,55.54%,MEILLEUR
00037,encaissements,ensemble_post,59.49%,ENSEMBLE_POST
00037,encaissements,ensemble_top2_cv0,92.96%,ENSEMBLE_CV
00037,encaissements,ensemble_top2_cv2,93.03%,ENSEMBLE_CV
00037,decaissements,xgboost,116.88%,TOP2_TEST
00037,decaissements,prophet,36.21%,MEILLEUR
00037,decaissements,arima,38.38%,
00037,decaissements,moving_avg,43.61%,
00037,decaissements,ensemble_post,35.73%,ENSEMBLE_POST
00037,decaissements,ensemble_top2_cv0,61.46%,ENSEMBLE_CV
00037,decaissements,ensemble_top2_cv2,62.33%,ENSEMBLE_CV
00037,Besoin,xgboost,152.33%,TOP2_TEST
00037,Besoin,prophet,123.56%,
00037,Besoin,arima,85.63%,MEILLEUR
00037,Besoin,moving_avg,90.53%,TOP2_TEST
00037,Besoin,ensemble_post,62.63%,ENSEMBLE_POST
00037,Besoin,ensemble_top2_cv1,92.08%,ENSEMBLE_CV
00037,Besoin,ensemble_top2_cv6,92.13%,ENSEMBLE_CV
