Code_Agence,Composante,Modele,MAPE,Statut
00064,encaissements,xgboost,64.57%,TOP2_TEST
00064,encaissements,prophet,17.71%,MEILLEUR
00064,encaissements,arima,29.32%,
00064,encaissements,moving_avg,25.41%,
00064,encaissements,ensemble_post,20.24%,ENSEMBLE_POST
00064,encaissements,ensemble_top2_cv1,32.92%,ENSEMBLE_CV
00064,encaissements,ensemble_top2_cv2,36.13%,ENSEMBLE_CV
00064,decaissements,xgboost,55.38%,TOP2_TEST
00064,decaissements,prophet,44.01%,MEILLEUR
00064,decaissements,arima,49.13%,TOP2_TEST
00064,decaissements,moving_avg,55.97%,
00064,decaissements,ensemble_post,46.43%,ENSEMBLE_POST
00064,decaissements,ensemble_top2_cv3,50.88%,ENSEMBLE_CV
00064,decaissements,ensemble_top2_cv1,50.90%,ENSEMBLE_CV
00064,Besoin,xgboost,49.47%,MEILLEUR
00064,Besoin,prophet,74.66%,TOP2_TEST
00064,Besoin,arima,57.57%,
00064,Besoin,moving_avg,88.75%,
00064,Besoin,ensemble_post,53.22%,ENSEMBLE_POST
00064,Besoin,ensemble_top2_cv5,59.81%,ENSEMBLE_CV
00064,Besoin,ensemble_top2_cv0,61.44%,ENSEMBLE_CV
