Code_Agence,Composante,Modele,MAPE,Statut
00079,encaissements,xgboost,46.00%,TOP2_TEST
00079,encaissements,prophet,15.67%,MEILLEUR
00079,encaissements,arima,42.56%,
00079,encaissements,moving_avg,29.68%,
00079,encaissements,ensemble_post,18.93%,ENSEMBLE_POST
00079,encaissements,ensemble_top2_cv0,23.13%,ENSEMBLE_CV
00079,encaissements,ensemble_top2_cv1,27.41%,ENSEMBLE_CV
00079,decaissements,xgboost,50.14%,TOP2_TEST
00079,decaissements,prophet,42.88%,
00079,decaissements,arima,33.19%,MEILLEUR
00079,decaissements,moving_avg,96.46%,
00079,decaissements,ensemble_post,36.61%,ENSEMBLE_POST
00079,decaissements,ensemble_top2_cv1,35.44%,ENSEMBLE_CV
00079,decaissements,ensemble_top2_cv5,37.60%,ENSEMBLE_CV
00079,Besoin,xgboost,289.79%,TOP2_TEST
00079,Besoin,prophet,149.92%,TOP2_TEST
00079,Besoin,arima,271.60%,
00079,Besoin,moving_avg,149.79%,MEILLEUR
00079,Besoin,ensemble_post,149.86%,ENSEMBLE_POST
00079,Besoin,ensemble_top2_cv0,187.98%,ENSEMBLE_CV
00079,Besoin,ensemble_top2_cv1,199.16%,ENSEMBLE_CV
