Code_Agence,Composante,Modele,MAPE,Statut
00046,encaissements,xgboost,11.31%,TOP2_TEST
00046,encaissements,prophet,26.31%,TOP2_TEST
00046,encaissements,arima,26.43%,
00046,encaissements,moving_avg,19.70%,
00046,encaissements,ensemble_post,3.57%,ENSEMBLE_POST
00046,encaissements,ensemble_top2_cv5,9.04%,MEILLEUR
00046,encaissements,ensemble_top2_cv3,9.05%,ENSEMBLE_CV
00046,decaissements,xgboost,80.40%,TOP2_TEST
00046,decaissements,prophet,27.68%,MEILLEUR
00046,decaissements,arima,28.55%,
00046,decaissements,moving_avg,60.81%,
00046,decaissements,ensemble_post,28.10%,ENSEMBLE_POST
00046,decaissements,ensemble_top2_cv1,40.77%,ENSEMBLE_CV
00046,decaissements,ensemble_top2_cv7,40.98%,ENSEMBLE_CV
00046,Besoin,xgboost,92.11%,TOP2_TEST
00046,Besoin,prophet,217.18%,
00046,Besoin,arima,171.44%,
00046,Besoin,moving_avg,62.96%,MEILLEUR
00046,Besoin,ensemble_post,72.01%,ENSEMBLE_POST
00046,Besoin,ensemble_top2_cv4,66.54%,ENSEMBLE_CV
00046,Besoin,ensemble_top2_cv7,72.83%,ENSEMBLE_CV
