Code_Agence,Composante,Modele,MAPE,Statut
00024,encaissements,xgboost,80.21%,TOP2_TEST
00024,encaissements,prophet,97.91%,
00024,encaissements,arima,30.43%,TOP2_TEST
00024,encaissements,moving_avg,26.47%,MEILLEUR
00024,encaissements,ensemble_post,27.86%,ENSEMBLE_POST
00024,encaissements,ensemble_top2_cv2,43.93%,ENSEMBLE_CV
00024,encaissements,ensemble_top2_cv0,46.15%,ENSEMBLE_CV
00024,decaissements,xgboost,134.00%,TOP2_TEST
00024,decaissements,prophet,222.50%,
00024,decaissements,arima,34.12%,
00024,decaissements,moving_avg,31.56%,MEILLEUR
00024,decaissements,ensemble_post,32.79%,ENSEMBLE_POST
00024,decaissements,ensemble_top2_cv2,48.20%,ENSEMBLE_CV
00024,decaissements,ensemble_top2_cv4,68.22%,ENSEMBLE_CV
00024,Besoin,xgboost,934.52%,MEILLEUR
00024,Besoin,prophet,9473.43%,
00024,Besoin,arima,1200.71%,
00024,Besoin,moving_avg,1351.74%,TOP2_TEST
00024,Besoin,ensemble_post,1047.42%,ENSEMBLE_POST
00024,Besoin,ensemble_top2_cv6,1050.25%,ENSEMBLE_CV
00024,Besoin,ensemble_top2_cv2,1060.14%,ENSEMBLE_CV
