Code_Agence,Composante,Modele,MAPE,Statut
00056,encaissements,xgboost,66.37%,TOP2_TEST
00056,encaissements,prophet,23.97%,TOP2_TEST
00056,encaissements,arima,19.57%,MEILLEUR
00056,encaissements,moving_avg,25.16%,
00056,encaissements,ensemble_post,21.11%,ENSEMBLE_POST
00056,encaissements,ensemble_top2_cv2,21.18%,ENSEMBLE_CV
00056,encaissements,ensemble_top2_cv0,22.65%,ENSEMBLE_CV
00056,decaissements,xgboost,81.90%,TOP2_TEST
00056,decaissements,prophet,12.85%,MEILLEUR
00056,decaissements,arima,16.74%,
00056,decaissements,moving_avg,29.62%,
00056,decaissements,ensemble_post,14.54%,ENSEMBLE_POST
00056,decaissements,ensemble_top2_cv0,20.29%,ENSEMBLE_CV
00056,decaissements,ensemble_top2_cv3,21.46%,ENSEMBLE_CV
00056,Besoin,xgboost,215.01%,TOP2_TEST
00056,Besoin,prophet,88.24%,
00056,Besoin,arima,75.41%,MEILLEUR
00056,Besoin,moving_avg,86.82%,TOP2_TEST
00056,Besoin,ensemble_post,74.21%,ENSEMBLE_POST
00056,Besoin,ensemble_top2_cv3,116.97%,ENSEMBLE_CV
00056,Besoin,ensemble_top2_cv0,117.06%,ENSEMBLE_CV
