Code_Agence,Composante,Modele,MAPE,Statut
00039,encaissements,xgboost,49.11%,TOP2_TEST
00039,encaissements,prophet,15.65%,TOP2_TEST
00039,encaissements,arima,24.02%,
00039,encaissements,moving_avg,17.15%,
00039,encaissements,ensemble_post,11.26%,ENSEMBLE_POST
00039,encaissements,ensemble_top2_cv7,8.43%,MEILLEUR
00039,encaissements,ensemble_top2_cv4,13.31%,ENSEMBLE_CV
00039,decaissements,xgboost,122.91%,TOP2_TEST
00039,decaissements,prophet,16.27%,MEILLEUR
00039,decaissements,arima,29.41%,
00039,decaissements,moving_avg,37.27%,
00039,decaissements,ensemble_post,18.82%,ENSEMBLE_POST
00039,decaissements,ensemble_top2_cv3,55.83%,ENSEMBLE_CV
00039,decaissements,ensemble_top2_cv0,58.73%,ENSEMBLE_CV
00039,Besoin,xgboost,142.53%,TOP2_TEST
00039,Besoin,prophet,42.34%,MEILLEUR
00039,Besoin,arima,58.44%,
00039,Besoin,moving_avg,74.58%,
00039,Besoin,ensemble_post,28.88%,ENSEMBLE_POST
00039,Besoin,ensemble_top2_cv4,48.91%,ENSEMBLE_CV
00039,Besoin,ensemble_top2_cv7,56.82%,ENSEMBLE_CV
