Code_Agence,Composante,Modele,MAPE,Statut
00005,encaissements,xgboost,76.38%,TOP2_TEST
00005,encaissements,prophet,26.23%,MEILLEUR
00005,encaissements,arima,41.23%,
00005,encaissements,moving_avg,33.28%,
00005,encaissements,ensemble_post,27.55%,ENSEMBLE_POST
00005,encaissements,ensemble_top2_cv7,32.74%,ENSEMBLE_CV
00005,encaissements,ensemble_top2_cv4,33.43%,ENSEMBLE_CV
00005,decaissements,xgboost,64.21%,TOP2_TEST
00005,decaissements,prophet,21.64%,MEILLEUR
00005,decaissements,arima,33.18%,
00005,decaissements,moving_avg,26.49%,
00005,decaissements,ensemble_post,23.82%,ENSEMBLE_POST
00005,decaissements,ensemble_top2_cv7,31.37%,ENSEMBLE_CV
00005,decaissements,ensemble_top2_cv2,31.71%,ENSEMBLE_CV
00005,Besoin,xgboost,130.31%,TOP2_TEST
00005,Besoin,prophet,94.36%,
00005,Besoin,arima,142.53%,
00005,Besoin,moving_avg,98.09%,TOP2_TEST
00005,Besoin,ensemble_post,76.42%,ENSEMBLE_POST
00005,Besoin,ensemble_top2_cv0,86.84%,MEILLEUR
00005,Besoin,ensemble_top2_cv7,87.11%,ENSEMBLE_CV
