Code_Agence,Composante,Modele,MAPE,Statut
00045,encaissements,xgboost,65.52%,TOP2_TEST
00045,encaissements,prophet,19.68%,MEILLEUR
00045,encaissements,arima,35.23%,
00045,encaissements,moving_avg,29.77%,
00045,encaissements,ensemble_post,22.20%,ENSEMBLE_POST
00045,encaissements,ensemble_top2_cv1,32.34%,ENSEMBLE_CV
00045,encaissements,ensemble_top2_cv2,32.51%,ENSEMBLE_CV
00045,decaissements,xgboost,151.14%,TOP2_TEST
00045,decaissements,prophet,31.72%,MEILLEUR
00045,decaissements,arima,34.44%,
00045,decaissements,moving_avg,43.14%,
00045,decaissements,ensemble_post,30.69%,ENSEMBLE_POST
00045,decaissements,ensemble_top2_cv4,68.53%,ENSEMBLE_CV
00045,decaissements,ensemble_top2_cv1,68.64%,ENSEMBLE_CV
00045,Besoin,xgboost,6995.59%,TOP2_TEST
00045,Besoin,prophet,2754.58%,
00045,Besoin,arima,1118.43%,MEILLEUR
00045,Besoin,moving_avg,3033.85%,
00045,Besoin,ensemble_post,1584.48%,ENSEMBLE_POST
00045,Besoin,ensemble_top2_cv2,2674.49%,ENSEMBLE_CV
00045,Besoin,ensemble_top2_cv3,2858.53%,ENSEMBLE_CV
