Code_Agence,Composante,Modele,MAPE,Statut
00043,encaissements,xgboost,124.24%,TOP2_TEST
00043,encaissements,prophet,26.66%,MEILLEUR
00043,encaissements,arima,53.41%,
00043,encaissements,moving_avg,58.85%,
00043,encaissements,ensemble_post,35.57%,ENSEMBLE_POST
00043,encaissements,ensemble_top2_cv7,52.72%,ENSEMBLE_CV
00043,encaissements,ensemble_top2_cv4,59.64%,ENSEMBLE_CV
00043,decaissements,xgboost,75.98%,TOP2_TEST
00043,decaissements,prophet,24.20%,MEILLEUR
00043,decaissements,arima,32.33%,TOP2_TEST
00043,decaissements,moving_avg,40.44%,
00043,decaissements,ensemble_post,27.68%,ENSEMBLE_POST
00043,decaissements,ensemble_top2_cv4,43.85%,ENSEMBLE_CV
00043,decaissements,ensemble_top2_cv7,50.81%,ENSEMBLE_CV
00043,Besoin,xgboost,1153.22%,TOP2_TEST
00043,Besoin,prophet,532.76%,
00043,Besoin,arima,106.89%,MEILLEUR
00043,Besoin,moving_avg,147.67%,
00043,Besoin,ensemble_post,124.02%,ENSEMBLE_POST
00043,Besoin,ensemble_top2_cv4,147.62%,ENSEMBLE_CV
00043,Besoin,ensemble_top2_cv1,163.95%,ENSEMBLE_CV
