Code_Agence,Composante,Modele,MAPE,Statut
00034,encaissements,xgboost,69.36%,TOP2_TEST
00034,encaissements,prophet,25.58%,MEILLEUR
00034,encaissements,arima,51.47%,
00034,encaissements,moving_avg,39.12%,
00034,encaissements,ensemble_post,30.93%,ENSEMBLE_POST
00034,encaissements,ensemble_top2_cv3,32.10%,ENSEMBLE_CV
00034,encaissements,ensemble_top2_cv1,35.18%,ENSEMBLE_CV
00034,decaissements,xgboost,64.00%,TOP2_TEST
00034,decaissements,prophet,21.32%,TOP2_TEST
00034,decaissements,arima,22.55%,
00034,decaissements,moving_avg,20.57%,MEILLEUR
00034,decaissements,ensemble_post,18.54%,ENSEMBLE_POST
00034,decaissements,ensemble_top2_cv0,33.15%,ENSEMBLE_CV
00034,decaissements,ensemble_top2_cv1,34.53%,ENSEMBLE_CV
00034,Besoin,xgboost,3716.37%,TOP2_TEST
00034,Besoin,prophet,366.28%,MEILLEUR
00034,Besoin,arima,396.07%,TOP2_TEST
00034,Besoin,moving_avg,887.94%,
00034,Besoin,ensemble_post,87.94%,ENSEMBLE_POST
00034,Besoin,ensemble_top2_cv0,571.90%,ENSEMBLE_CV
00034,Besoin,ensemble_top2_cv1,1008.92%,ENSEMBLE_CV
