Code_Agence,Composante,Modele,MAPE,Statut
00075,encaissements,xgboost,64.70%,TOP2_TEST
00075,encaissements,prophet,75.18%,TOP2_TEST
00075,encaissements,arima,59.42%,
00075,encaissements,moving_avg,24.73%,MEILLEUR
00075,encaissements,ensemble_post,32.39%,ENSEMBLE_POST
00075,encaissements,ensemble_top2_cv5,68.62%,ENSEMBLE_CV
00075,encaissements,ensemble_top2_cv3,69.06%,ENSEMBLE_CV
00075,decaissements,xgboost,112.94%,TOP2_TEST
00075,decaissements,prophet,45.74%,TOP2_TEST
00075,decaissements,arima,48.76%,
00075,decaissements,moving_avg,40.16%,MEILLEUR
00075,decaissements,ensemble_post,42.77%,ENSEMBLE_POST
00075,decaissements,ensemble_top2_cv1,68.39%,ENSEMBLE_CV
00075,decaissements,ensemble_top2_cv0,69.17%,ENSEMBLE_CV
00075,Besoin,xgboost,594.64%,TOP2_TEST
00075,Besoin,prophet,169.22%,TOP2_TEST
00075,Besoin,arima,195.91%,
00075,Besoin,moving_avg,392.61%,
00075,Besoin,ensemble_post,177.71%,ENSEMBLE_POST
00075,Besoin,ensemble_top2_cv4,80.82%,MEILLEUR
00075,Besoin,ensemble_top2_cv6,97.42%,ENSEMBLE_CV
