Code_Agence,Composante,Modele,MAPE,Statut
00031,encaissements,xgboost,29.35%,TOP2_TEST
00031,encaissements,prophet,48.68%,
00031,encaissements,arima,19.67%,TOP2_TEST
00031,encaissements,moving_avg,25.59%,
00031,encaissements,ensemble_post,16.03%,ENSEMBLE_POST
00031,encaissements,ensemble_top2_cv2,18.42%,MEILLEUR
00031,encaissements,ensemble_top2_cv3,18.43%,ENSEMBLE_CV
00031,decaissements,xgboost,23.82%,TOP2_TEST
00031,decaissements,prophet,28.86%,TOP2_TEST
00031,decaissements,arima,23.75%,
00031,decaissements,moving_avg,25.99%,
00031,decaissements,ensemble_post,23.38%,ENSEMBLE_POST
00031,decaissements,ensemble_top2_cv3,19.81%,MEILLEUR
00031,decaissements,ensemble_top2_cv5,19.83%,ENSEMBLE_CV
00031,Besoin,xgboost,112.24%,TOP2_TEST
00031,Besoin,prophet,102.53%,TOP2_TEST
00031,Besoin,arima,67.23%,MEILLEUR
00031,Besoin,moving_avg,69.76%,
00031,Besoin,ensemble_post,68.47%,ENSEMBLE_POST
00031,Besoin,ensemble_top2_cv3,67.30%,ENSEMBLE_CV
00031,Besoin,ensemble_top2_cv7,68.77%,ENSEMBLE_CV
