Code_Agence,Composante,Modele,MAPE,Statut
00042,encaissements,xgboost,225.05%,TOP2_TEST
00042,encaissements,prophet,31.54%,MEILLEUR
00042,encaissements,arima,68.50%,
00042,encaissements,moving_avg,120.24%,
00042,encaissements,ensemble_post,33.58%,ENSEMBLE_POST
00042,encaissements,ensemble_top2_cv0,88.80%,ENSEMBLE_CV
00042,encaissements,ensemble_top2_cv2,94.76%,ENSEMBLE_CV
00042,decaissements,xgboost,94.93%,TOP2_TEST
00042,decaissements,prophet,38.40%,MEILLEUR
00042,decaissements,arima,64.16%,
00042,decaissements,moving_avg,80.28%,
00042,decaissements,ensemble_post,48.04%,ENSEMBLE_POST
00042,decaissements,ensemble_top2_cv0,44.81%,ENSEMBLE_CV
00042,decaissements,ensemble_top2_cv6,51.13%,ENSEMBLE_CV
00042,Besoin,xgboost,284.32%,TOP2_TEST
00042,Besoin,prophet,107.56%,
00042,Besoin,arima,94.78%,MEILLEUR
00042,Besoin,moving_avg,142.32%,
00042,Besoin,ensemble_post,100.76%,ENSEMBLE_POST
00042,Besoin,ensemble_top2_cv0,134.59%,ENSEMBLE_CV
00042,Besoin,ensemble_top2_cv6,137.37%,ENSEMBLE_CV
