Code_Agence,Composante,Modele,MAPE,Statut
00001,encaissements,xgboost,67.87%,TOP2_TEST
00001,encaissements,prophet,18.74%,MEILLEUR
00001,encaissements,arima,32.97%,
00001,encaissements,moving_avg,30.91%,
00001,encaissements,ensemble_post,23.08%,ENSEMBLE_POST
00001,encaissements,ensemble_top2_cv7,25.34%,ENSEMBLE_CV
00001,encaissements,ensemble_top2_cv1,26.45%,ENSEMBLE_CV
00001,decaissements,xgboost,55.47%,TOP2_TEST
00001,decaissements,prophet,14.96%,TOP2_TEST
00001,decaissements,arima,14.09%,MEILLEUR
00001,decaissements,moving_avg,20.70%,
00001,decaissements,ensemble_post,12.01%,ENSEMBLE_POST
00001,decaissements,ensemble_top2_cv2,16.11%,ENSEMBLE_CV
00001,decaissements,ensemble_top2_cv7,16.30%,ENSEMBLE_CV
00001,Besoin,xgboost,47.34%,TOP2_TEST
00001,Besoin,prophet,24.88%,MEILLEUR
00001,Besoin,arima,30.50%,TOP2_TEST
00001,Besoin,moving_avg,39.79%,
00001,Besoin,ensemble_post,20.36%,ENSEMBLE_POST
00001,Besoin,ensemble_top2_cv7,30.67%,ENSEMBLE_CV
00001,Besoin,ensemble_top2_cv6,30.67%,ENSEMBLE_CV
