Code_Agence,Composante,Modele,MAPE,Statut
00063,encaissements,xgboost,72.06%,TOP2_TEST
00063,encaissements,prophet,21.05%,MEILLEUR
00063,encaissements,arima,40.49%,
00063,encaissements,moving_avg,33.43%,
00063,encaissements,ensemble_post,21.90%,ENSEMBLE_POST
00063,encaissements,ensemble_top2_cv7,23.85%,ENSEMBLE_CV
00063,encaissements,ensemble_top2_cv1,23.99%,ENSEMBLE_CV
00063,decaissements,xgboost,53.16%,TOP2_TEST
00063,decaissements,prophet,24.84%,MEILLEUR
00063,decaissements,arima,33.59%,
00063,decaissements,moving_avg,38.96%,
00063,decaissements,ensemble_post,28.19%,ENSEMBLE_POST
00063,decaissements,ensemble_top2_cv0,27.39%,ENSEMBLE_CV
00063,decaissements,ensemble_top2_cv5,28.42%,ENSEMBLE_CV
00063,Besoin,xgboost,425.36%,TOP2_TEST
00063,Besoin,prophet,350.78%,
00063,Besoin,arima,414.88%,
00063,Besoin,moving_avg,154.82%,MEILLEUR
00063,Besoin,ensemble_post,212.30%,ENSEMBLE_POST
00063,Besoin,ensemble_top2_cv3,220.15%,ENSEMBLE_CV
00063,Besoin,ensemble_top2_cv7,220.36%,ENSEMBLE_CV
