Code_Agence,Composante,Modele,MAPE,Statut
00038,encaissements,xgboost,81.16%,TOP2_TEST
00038,encaissements,prophet,25.14%,MEILLEUR
00038,encaissements,arima,36.76%,
00038,encaissements,moving_avg,36.63%,
00038,encaissements,ensemble_post,29.81%,ENSEMBLE_POST
00038,encaissements,ensemble_top2_cv7,40.94%,ENSEMBLE_CV
00038,encaissements,ensemble_top2_cv4,43.09%,ENSEMBLE_CV
00038,decaissements,xgboost,43.56%,TOP2_TEST
00038,decaissements,prophet,47.86%,
00038,decaissements,arima,23.86%,MEILLEUR
00038,decaissements,moving_avg,29.50%,
00038,decaissements,ensemble_post,26.38%,ENSEMBLE_POST
00038,decaissements,ensemble_top2_cv4,28.29%,ENSEMBLE_CV
00038,decaissements,ensemble_top2_cv6,32.57%,ENSEMBLE_CV
00038,Besoin,xgboost,202.75%,TOP2_TEST
00038,Besoin,prophet,129.76%,
00038,Besoin,arima,104.40%,TOP2_TEST
00038,Besoin,moving_avg,98.98%,
00038,Besoin,ensemble_post,101.62%,ENSEMBLE_POST
00038,Besoin,ensemble_top2_cv3,75.84%,MEILLEUR
00038,Besoin,ensemble_top2_cv1,82.59%,ENSEMBLE_CV
