Code_Agence,Composante,Modele,MAPE,Statut
00073,encaissements,xgboost,34.23%,TOP2_TEST
00073,encaissements,prophet,36.84%,TOP2_TEST
00073,encaissements,arima,57.41%,
00073,encaissements,moving_avg,62.36%,
00073,encaissements,ensemble_post,33.50%,ENSEMBLE_POST
00073,encaissements,ensemble_top2_cv7,33.13%,MEILLEUR
00073,encaissements,ensemble_top2_cv6,33.37%,ENSEMBLE_CV
00073,decaissements,xgboost,56.24%,TOP2_TEST
00073,decaissements,prophet,23.91%,MEILLEUR
00073,decaissements,arima,32.05%,
00073,decaissements,moving_avg,52.30%,
00073,decaissements,ensemble_post,25.66%,ENSEMBLE_POST
00073,decaissements,ensemble_top2_cv2,35.05%,ENSEMBLE_CV
00073,decaissements,ensemble_top2_cv7,35.25%,ENSEMBLE_CV
00073,Besoin,xgboost,1566.92%,TOP2_TEST
00073,Besoin,prophet,847.75%,TOP2_TEST
00073,Besoin,arima,937.97%,
00073,Besoin,moving_avg,256.54%,MEILLEUR
00073,Besoin,ensemble_post,393.88%,ENSEMBLE_POST
00073,Besoin,ensemble_top2_cv2,939.40%,ENSEMBLE_CV
00073,Besoin,ensemble_top2_cv5,990.52%,ENSEMBLE_CV
