Code_Agence,Composante,Modele,MAPE,Statut
00026,encaissements,xgboost,81.34%,TOP2_TEST
00026,encaissements,prophet,36.74%,MEILLEUR
00026,encaissements,arima,44.08%,
00026,encaissements,moving_avg,38.61%,
00026,encaissements,ensemble_post,33.70%,ENSEMBLE_POST
00026,encaissements,ensemble_top2_cv2,48.52%,ENSEMBLE_CV
00026,encaissements,ensemble_top2_cv4,52.93%,ENSEMBLE_CV
00026,decaissements,xgboost,97.31%,TOP2_TEST
00026,decaissements,prophet,57.54%,TOP2_TEST
00026,decaissements,arima,39.60%,
00026,decaissements,moving_avg,39.02%,MEILLEUR
00026,decaissements,ensemble_post,39.31%,ENSEMBLE_POST
00026,decaissements,ensemble_top2_cv1,70.68%,ENSEMBLE_CV
00026,decaissements,ensemble_top2_cv2,70.77%,ENSEMBLE_CV
00026,Besoin,xgboost,80.76%,TOP2_TEST
00026,Besoin,prophet,80.68%,TOP2_TEST
00026,Besoin,arima,85.91%,
00026,Besoin,moving_avg,79.41%,MEILLEUR
00026,Besoin,ensemble_post,80.04%,ENSEMBLE_POST
00026,Besoin,ensemble_top2_cv7,80.69%,ENSEMBLE_CV
00026,Besoin,ensemble_top2_cv2,80.71%,ENSEMBLE_CV
