Code_Agence,Composante,Modele,MAPE,Statut
00057,encaissements,xgboost,87.44%,TOP2_TEST
00057,encaissements,prophet,20.56%,MEILLEUR
00057,encaissements,arima,35.43%,
00057,encaissements,moving_avg,40.19%,
00057,encaissements,ensemble_post,23.22%,ENSEMBLE_POST
00057,encaissements,ensemble_top2_cv1,36.84%,ENSEMBLE_CV
00057,encaissements,ensemble_top2_cv2,42.43%,ENSEMBLE_CV
00057,decaissements,xgboost,95.37%,TOP2_TEST
00057,decaissements,prophet,34.83%,MEILLEUR
00057,decaissements,arima,44.79%,
00057,decaissements,moving_avg,54.31%,
00057,decaissements,ensemble_post,33.71%,ENSEMBLE_POST
00057,decaissements,ensemble_top2_cv7,52.41%,ENSEMBLE_CV
00057,decaissements,ensemble_top2_cv1,52.88%,ENSEMBLE_CV
00057,Besoin,xgboost,612.16%,TOP2_TEST
00057,Besoin,prophet,76.07%,MEILLEUR
00057,Besoin,arima,113.25%,
00057,Besoin,moving_avg,110.87%,
00057,Besoin,ensemble_post,90.23%,ENSEMBLE_POST
00057,Besoin,ensemble_top2_cv2,124.97%,ENSEMBLE_CV
00057,Besoin,ensemble_top2_cv7,192.62%,ENSEMBLE_CV
