Code_Agence,Composante,Modele,MAPE,Statut
00085,encaissements,xgboost,37.70%,TOP2_TEST
00085,encaissements,prophet,107.87%,
00085,encaissements,arima,28.89%,TOP2_TEST
00085,encaissements,moving_avg,27.79%,
00085,encaissements,ensemble_post,28.33%,ENSEMBLE_POST
00085,encaissements,ensemble_top2_cv3,27.26%,MEILLEUR
00085,encaissements,ensemble_top2_cv2,27.44%,ENSEMBLE_CV
00085,decaissements,xgboost,47.03%,TOP2_TEST
00085,decaissements,prophet,54.46%,
00085,decaissements,arima,23.91%,MEILLEUR
00085,decaissements,moving_avg,68.87%,
00085,decaissements,ensemble_post,26.97%,ENSEMBLE_POST
00085,decaissements,ensemble_top2_cv1,27.96%,ENSEMBLE_CV
00085,decaissements,ensemble_top2_cv7,28.62%,ENSEMBLE_CV
00085,Besoin,xgboost,578.90%,TOP2_TEST
00085,Besoin,prophet,444.63%,
00085,Besoin,arima,151.77%,MEILLEUR
00085,Besoin,moving_avg,441.98%,
00085,Besoin,ensemble_post,108.89%,ENSEMBLE_POST
00085,Besoin,ensemble_top2_cv1,195.13%,ENSEMBLE_CV
00085,Besoin,ensemble_top2_cv6,215.43%,ENSEMBLE_CV
