Code_Agence,Composante,Modele,MAPE,Statut
00055,encaissements,xgboost,66.28%,TOP2_TEST
00055,encaissements,prophet,21.91%,MEILLEUR
00055,encaissements,arima,41.09%,
00055,encaissements,moving_avg,38.54%,
00055,encaissements,ensemble_post,26.32%,ENSEMBLE_POST
00055,encaissements,ensemble_top2_cv0,34.04%,ENSEMBLE_CV
00055,encaissements,ensemble_top2_cv7,36.71%,ENSEMBLE_CV
00055,decaissements,xgboost,54.02%,TOP2_TEST
00055,decaissements,prophet,29.09%,TOP2_TEST
00055,decaissements,arima,24.06%,MEILLEUR
00055,decaissements,moving_avg,27.48%,
00055,decaissements,ensemble_post,24.43%,ENSEMBLE_POST
00055,decaissements,ensemble_top2_cv3,37.48%,ENSEMBLE_CV
00055,decaissements,ensemble_top2_cv4,40.54%,ENSEMBLE_CV
00055,Besoin,xgboost,750.06%,TOP2_TEST
00055,Besoin,prophet,263.03%,MEILLEUR
00055,Besoin,arima,609.86%,
00055,Besoin,moving_avg,419.26%,
00055,Besoin,ensemble_post,301.54%,ENSEMBLE_POST
00055,Besoin,ensemble_top2_cv4,317.75%,ENSEMBLE_CV
00055,Besoin,ensemble_top2_cv7,400.80%,ENSEMBLE_CV
