Code_Agence,Composante,Modele,MAPE,Statut
00062,encaissements,xgboost,66.65%,TOP2_TEST
00062,encaissements,prophet,25.48%,TOP2_TEST
00062,encaissements,arima,21.54%,MEILLEUR
00062,encaissements,moving_avg,30.08%,
00062,encaissements,ensemble_post,17.03%,ENSEMBLE_POST
00062,encaissements,ensemble_top2_cv4,27.34%,ENSEMBLE_CV
00062,encaissements,ensemble_top2_cv1,27.64%,ENSEMBLE_CV
00062,decaissements,xgboost,114.18%,TOP2_TEST
00062,decaissements,prophet,41.44%,MEILLEUR
00062,decaissements,arima,54.20%,
00062,decaissements,moving_avg,46.58%,
00062,decaissements,ensemble_post,43.86%,ENSEMBLE_POST
00062,decaissements,ensemble_top2_cv0,61.63%,ENSEMBLE_CV
00062,decaissements,ensemble_top2_cv1,61.91%,ENSEMBLE_CV
00062,Besoin,xgboost,178.64%,TOP2_TEST
00062,Besoin,prophet,100.68%,MEILLEUR
00062,Besoin,arima,104.96%,TOP2_TEST
00062,Besoin,moving_avg,160.33%,
00062,Besoin,ensemble_post,102.77%,ENSEMBLE_POST
00062,Besoin,ensemble_top2_cv4,121.04%,ENSEMBLE_CV
00062,Besoin,ensemble_top2_cv7,123.43%,ENSEMBLE_CV
