Code_Agence,Composante,Modele,MAPE,Statut
00021,encaissements,xgboost,108.74%,TOP2_TEST
00021,encaissements,prophet,50.56%,TOP2_TEST
00021,encaissements,arima,39.54%,
00021,encaissements,moving_avg,30.93%,MEILLEUR
00021,encaissements,ensemble_post,34.42%,ENSEMBLE_POST
00021,encaissements,ensemble_top2_cv0,72.08%,ENSEMBLE_CV
00021,encaissements,ensemble_top2_cv3,72.91%,ENSEMBLE_CV
00021,decaissements,xgboost,104.34%,TOP2_TEST
00021,decaissements,prophet,46.60%,TOP2_TEST
00021,decaissements,arima,47.79%,
00021,decaissements,moving_avg,40.83%,MEILLEUR
00021,decaissements,ensemble_post,43.52%,ENSEMBLE_POST
00021,decaissements,ensemble_top2_cv2,67.18%,ENSEMBLE_CV
00021,decaissements,ensemble_top2_cv3,73.93%,ENSEMBLE_CV
00021,Besoin,xgboost,109.37%,TOP2_TEST
00021,Besoin,prophet,165.58%,TOP2_TEST
00021,Besoin,arima,114.80%,
00021,Besoin,moving_avg,60.46%,MEILLEUR
00021,Besoin,ensemble_post,77.87%,ENSEMBLE_POST
00021,Besoin,ensemble_top2_cv5,121.80%,ENSEMBLE_CV
00021,Besoin,ensemble_top2_cv4,122.62%,ENSEMBLE_CV
